Job Title,Company,Location,Time Of Work,Job Description
Senior Analyst (Vendor Management) – IT PMO & Partnerships,flydubai -,"Dubai, United Arab Emirates ",Full Time,Not specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Analysis · Business Analysis · Finance · Accounting · Financial Analysis
Power BI Developer,eVision -,"New Cairo, Cairo, Egypt ",Full Time,Experienced · 6 - 10 Yrs of Exp · IT/Software Development · BI · Computer Science · Database · Information Technology (IT) · Power BI · Data Warehousing · Analysis
Test Specialist - Data,eT3 - Tomorrow Information Technology -,"New Cairo, Cairo, Egypt ",Full Time,Experienced · 2 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · ETL · Agile Methodologies · JIRA · Microsoft TFS · ALM · SQL · DWH
Project Manager - Data Networks (ICT),SABA -,"Heliopolis, Cairo, Egypt ",Full Time,Experienced · 2 - 5 Yrs of Exp · IT/Software Development · Project/Program Management · Engineering - Telecom/Technology · Project Management · Software Engineering · Data Networks · Networks · PMP · Microsoft Visio · Smartdraw
Senior Talend Architect,Sceel.io -,"Maadi, Cairo, Egypt ",Full Time,Experienced · 4 - 6 Yrs of Exp · Engineering - Construction/Civil/Architecture · Creative/Design/Art · IT/Software Development · Architect · Architecture · AutoCAD · Big Data · Communication · Computer Science · Design
App and Web developer,MFG -,"Katameya, Cairo, Egypt ",Full Time,Experienced · 2+ Yrs of Exp · IT/Software Development · Computer Science · Data Entry · Development · Programming · Software Engineering
Data Engineer lead,BBI-Consultancy -,"Nasr City, Cairo, Egypt ",Full Time,Experienced · 3 - 7 Yrs of Exp · IT/Software Development · Computer Science · Data Engineering · Informatica ETL · Data Management · Data Management Sloutions · ETL Tools · Database · Microsoft SQL Server · SQL
Senior Analyst,Professional Recruitment -,"Riyadh, Saudi Arabia ",Full Time,Not specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Analysis · Business Analysis · Finance · Accounting · Financial Analysis
Data Analyst,Confidential -,"Alexandria, Egypt ",Full Time,Experienced · 2 - 4 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · analytical · Business Intelligence · Communication skills · English · Data Analysis · Amazon AWS · Information Technology (IT)
Business Systems Integration Manager,Mekdam Holding Group -,"Doha, Qatar ",Full Time,Not specified · Accounting/Finance · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Computer Engineering · Accounting · Business · ERP · Finance
Lead of Project Engineering COMP3 (F-4322-Q)-2,Mekdam Holding Group -,"Doha, Qatar ",Full Time,Not specified · Engineering - Construction/Civil/Architecture · IT/Software Development · Engineering - Telecom/Technology · engineering · information technology (it) · computer science · software development · project · projects · data
Senior Inventory Analyst,Etihad Airways -,"Abu Dhabi, United Arab Emirates ",Full Time,Not specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Analysis · Business Analysis · Finance · Accounting · Financial Analysis
Senior Analyst - Business Application - Oracle Fusion,Sidra Medicine -,"Doha, Qatar ",Full Time,Not specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Analysis · Business Analysis · Finance · Accounting · Financial Analysis
Data Engineer,LxT -,"Agouza, Giza, Egypt ",Full Time,Experienced · 1 - 3 Yrs of Exp · IT/Software Development · Computer Engineering · Data Engineering · Python · SQL
Director of Medical Records,Career Raiser -,"Abu Dhabi, United Arab Emirates ",Full Time,Not specified · Operations/Management · Medical/Healthcare · Pharmaceutical · Medical · Healthcare · Management · Medicine · Dentistry · Hospital Management · Pharmaceutical Science
Senior Analyst - Accounting,S.C. Johnson & Son Inc -,"Cairo, Egypt ",Full Time,Not specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Analysis · Business Analysis · Finance · Accounting · Financial Analysis
QUALITY ANALYST,King Faisal Specialist Hospital & Research Centre -,"Riyadh, Saudi Arabia ",Full Time,Not specified · Quality · Analyst/Research · Pharmaceutical · Quality · Quality Control · Quality Assurance · Pharmacy · Analysis · Science · Computer Science
Presales Manager - Enterprise Business Solutions,Giza Arabia Systems -,"Cairo, Egypt ",Full Time,Not specified · IT/Software Development · Sales/Retail · Engineering - Telecom/Technology · Sales · Information Technology (IT) · Presales · Sales Skills · Engineering · Computer Science · Customer Service
Senior SAP Security and GRC Consultant,Mekdam Holding Group -,"Doha, Qatar ",Full Time,Not specified · Accounting/Finance · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · SAP · Computer Science · ABAP · Software Engineering · ERP · Java
Core Assurance COOPs - All KSA,PwC - United Arab Emirates -,"Riyadh, Saudi Arabia ",Full Time,Not specified · Accounting/Finance · IT/Software Development · Analyst/Research · Accounting · Finance · ACCA · CPA · Microsoft Office · ACA · Commerce
