,Brand,Series,Package Dimensions,Resolution,Processor Brand,Processor Type,Processor Speed,Processor Count,RAM Size,Hard Drive Size,Hard Disk Description,Graphics Chipset Brand,Item Weight,Color,Availability Date,Rating,Number Of Ratings,Price
159,Dell,G15 5510 i5-10500H16G512G1650U,58 x 35 x 9 cm; 2.4 Kilograms,1920x1080 Pixels,Intel,Intel Core i5,4500 MHz,6,16 GB,512 GB,SSD,NVIDIA,2.4 Kilograms,Grey,28 July 2022,3.7,33,48999.
160,HP,14-DV2005NE,,,Intel,Core i3-9300T,3 GHz,1,16,1 TB,SSD,Intel,2 Kilograms,,11 November 2022,,,39999
161,HP,Victus 15-fa0031dx,,1920x1080 Pixels,Intel,Intel Core i5,4400 MHz,8,8 GB,512 GB,SSD,NVIDIA,2.4 Kilograms,Silver,24 July 2022,4.4,190,95.
162,Dell,VOSTRO 3510 I7 8G 512G 2D UBU,55 x 35 x 7 cm; 1.69 Kilograms,1920x1080 Pixels,Intel,Intel Core i7-1165G7,4.7 GHz,4,,512 GB,SSD,NVIDIA,1.69 Kilograms,Black,10 October 2022,3.9,39,32680.
163,Dell,G15 5510 i5-10500H8G512G1650U,58 x 35 x 8 cm; 2.4 Kilograms,1920x1080 Pixels,Intel,Intel Core i5,4500 MHz,6,8 GB,512 GB,SSD,NVIDIA,2.4 Kilograms,Grey,28 July 2022,3.8,3,34655.
164,DELL,G15-5511 I511260h16g512g3050ub,51.9 x 34.6 x 8.1 cm; 2.5 Kilograms,1920x1080 Pixels,Intel,Intel Core i5,4400 MHz,6,16 GB,512 GB,SSD,NVIDIA,2.5 Kilograms,Dark Shadow Grey,9 November 2022,5.0,1,39794
165,HP,HP Pavilion Gaming Laptop,55.2 x 30.6 x 6.9 cm; 2.28 Grams,1920 x 1080 Pixels,Intel,Intel Core i5,3.1 GHz,4,,1256 GB,256 GB PCIe NVMe M.2 SSD 1 TB 7200 rpm SATA HDD,NVIDIA,2.28 g,Shadow Black,9 November 2023,,,39535
166,Dell,,50.8 x 34 x 7.8 cm; 3.73 Kilograms,,,,,,8 GB,512 GB,,,3.73 Kilograms,ice,16 August 2021,4.4,12,1180.
167,Dell,Vostro,48 x 32 x 7.4 cm; 2.77 Kilograms,,,,,,8 GB,1 TB,,,2.77 Kilograms,red,27 December 2021,3.4,22,4149.
168,Dell,Vostro 3510 i7-1165G7.16G.1256G2MX350G.UBU,49.7 x 32.8 x 7.7 cm; 1.8 Kilograms,1920x1080 Pixels,Intel,Intel Core i7-1165G7,4700 MHz,4,16,1256 GB,Hybrid,NVIDIA,1.8 Kilograms,Black,1 June 2022,4.0,34,130.
169,Lenovo,82K10132UK,,1080p Full HD MP,Intel,Intel Core i5,4.4 GHz,4,8 GB,512 GB,SSD,Intel,3.27 Kilograms,Shadow Black,7 August 2022,4.4,22,38500
170,Dell,,49.6 x 34.2 x 7.4 cm; 3.75 Kilograms,,,,,,8 GB,512 GB,,,3.75 Kilograms,red,18 January 2022,3.7,33,72.
171,LENOVO,IdeaPad Flex 5 14ITL05,42 x 32 x 7 cm; 1.5 Kilograms,1920x1080 Pixels,Intel,Intel Core i5-1135G7,2.4 GHz,4,,256 GB,256GB SSD M.2 2242 PCIe® 3.0x4 NVMe,Intel,1.5 Kilograms,Graphite Grey,8 November 2023,,,38217
172,LENOVO,IdeaPad Flex 5 14ITL05,42 x 32 x 7 cm; 1.5 Kilograms,1920x1080 Pixels,Intel,Intel Core i5-1135G7,2.4 GHz,4,,256 GB,256GB SSD M.2 2242 PCIe® 3.0x4 NVMe,Intel,1.5 Kilograms,Graphite Grey,8 November 2023,,,38217
173,LENOVO,IdeaPad Flex 5 14ITL05,42 x 32 x 7 cm; 1.5 Kilograms,1920x1080 Pixels,Intel,Intel Core i5-1135G7,2.4 GHz,4,,256 GB,256GB SSD M.2 2242 PCIe® 3.0x4 NVMe,Intel,1.5 Kilograms,Graphite Grey,8 November 2023,,,38217
174,LENOVO,IdeaPad Flex 5 14ITL05,42 x 32 x 7 cm; 1.5 Kilograms,1920x1080 Pixels,Intel,Intel Core i5-1135G7,2.4 GHz,4,,256 GB,256GB SSD M.2 2242 PCIe® 3.0x4 NVMe,Intel,1.5 Kilograms,Graphite Grey,8 November 2023,,,38217
