,Brand,Series,Package Dimensions,Resolution,Processor Brand,Processor Type,Processor Speed,Processor Count,RAM Size,Hard Drive Size,Hard Disk Description,Graphics Chipset Brand,Item Weight,Color,Availability Date,Rating,Number Of Ratings,Price
0,ASUS,ROG Strix SCAR 17 G733PY-LL009W,30 x 13 x 3 cm; 200 Grams,,AMD,Ryzen 9,2.5,1,,,SSD,NVIDIA,200 g,Off Black,7 December 2023,,,174009
1,Apple,,43 x 33 x 10 cm; 3.23 Kilograms,,Apple,Apple M1,1,12,1 TB,1 TB,SSD,Apple,3.23 Kilograms,,14 February 2023,4.8,6,147999
2,Apple,MacBook,39.6 x 31.2 x 9.2 cm; 3.29 Kilograms,,Apple,Apple M1,1,10,512 GB,512 GB,SSD,Apple,3.29 Kilograms,Space Grey,14 February 2023,4.5,35,119999
3,HP,"HP Envy 16""",49.5 x 35.7 x 6.7 cm; 2.34 Kilograms,2560x1600 Pixels,Intel,Intel Core i9,4.1 GHz,14,,1 TB,1 TB PCIe Gen4 NVMe TLC M.2 SSD,NVIDIA,2.34 Kilograms,Natural silver aluminum,6 November 2023,,,109166
4,ASUS,90NR0CZ1-M003S0,65 x 60 x 60 cm; 1.8 Kilograms,,Intel,Core i3-9300T,3 GHz,1,,,SSD,AMD,1.8 Kilograms,Gray,2 August 2023,,,106360
5,HP,HP Envy,,2560x1600 Pixels,Intel,Intel Core i9,4.1 GHz,14,16 GB,1 TB,1 TB PCIe Gen4 NVMe TLC M.2 SSD,NVIDIA,2.34 Kilograms,Natural silver aluminum,6 November 2023,4.5,2,99159
6,Apple,"2021 Apple MacBook Pro (14-inch, Ap",,,Apple,Apple M1,3.2 GHz,10,16 GB,512 GB,,Apple,2.65 Kilograms,Space Gray,24 November 2021,4.7,59,95550
7,Apple,,,,Apple,Intel Core i9,2.6 GHz,10,16 GB,1 TB,,Apple,2.65 Kilograms,Silver,24 November 2021,4.6,28,94999
8,ASUS,G533QS-HF017T,58 x 35 x 8 cm; 2 Kilograms,,Intel,Ryzen Threadripper 1920X,3 GHz,1,32 GB,1 TB,SSD,NVIDIA,2 Kilograms,Black,15 June 2022,1.0,1,93517
9,Lenovo,Legion Pro 5 16IRX8 - 82WK008RAX,54 x 35.1 x 8.4 cm; 2.55 Kilograms,2560x1600 Pixels,"Intel® Core™ i7-13700HX, 16C (8P + 8E) / 24T, P-core 2.1 / 5.0GHz, E-core 1.5 / 3.6GHz, 30MB",Intel Core i7,2.1 GHz,16,16,1 TB,1TB SSD M.2 2280 PCIe® 4.0x4 NVMe®,NVIDIA,2.55 Kilograms,Onyx Grey,7 October 2023,,,93441
10,Lenovo,Legion Pro 5 16IRX8,58 x 35 x 10 cm; 2.55 Kilograms,2560x1600 Pixels,"Intel® Core™ i7-13700HX, 16C (8P + 8E) / 24T, P-core 2.1 / 5.0GHz, E-core 1.5 / 3.6GHz, 30MB",Intel Core i7,2.1 GHz,16,,1 TB,1TB SSD M.2 2280 PCIe® 4.0x4 NVMe®,NVIDIA,2.55 Kilograms,Onyx Grey,19 November 2023,,,93441
11,Lenovo,Yoga,47.2 x 31.6 x 7.6 cm; 2.69 Kilograms,,Intel,,,,16 GB,1 TB,solid state drive,Intel,2.69 Kilograms,,13 April 2021,,,92411
12,MSI,,,,Intel,,2.4 GHz,8,32 GB,1 TB,SSD,NVIDIA,2.1 Kilograms,teal,12 June 2022,3.5,13,51999.
13,Lenovo,82HU00VCED,49.9 x 40.2 x 12.6 cm; 2 Kilograms,,Intel,Core i7-660UM,3 GHz,1,16 GB,,SSD,NVIDIA,2 Kilograms,Grey,8 April 2023,,,88810
14,Lenovo,Legion,54.2 x 38.9 x 8.4 cm; 4.38 Kilograms,,Intel,Core i7 Family,4.6 GHz,8,16 GB,1 TB,SSD,NVIDIA,4.38 Kilograms,,30 May 2022,,,78320
15,Apple,,42.79 x 32.2 x 8.9 cm; 3.04 Kilograms,,,,8 GHz,8,8,256 GB,,,3.04 Kilograms,,18 June 2023,5.0,1,50255.
16,Apple,,43 x 32.4 x 9 cm; 3.04 Kilograms,,Apple,,8 GHz,8,8,256 GB,,Apple,3.04 Kilograms,red,18 June 2023,4.3,8,94999.
17,Lenovo,Legion 5 Pro 16ACH6H,60 x 30 x 8 cm; 2.5 Kilograms,,AMD,AMD Ryzen 7 5800H,4.4 Hz,8,8,1 TB,SSD,AMD,2.5 Kilograms,black,7 December 2022,,,77165
18,LENOVO,Lenovo LOQ 15IRX9,58 x 35 x 10 cm; 2.4 Kilograms,1920x1080 Pixels,"Intel Core i7-13650HX, 14C (6P + 8E) / 20T, P-core 2.6 / 4.9GHz, E-core 1.9 / 3.6GHz, 24MB",Intel Core i7,2.6 GHz,14,,1 TB,"1TB SSD M.2 PCIe® 4.0x4 NVMe®, SSD",NVIDIA,2.4 Kilograms,Storm Grey,14 December 2023,,,76500
19,HP,"HP OMEN 16""",54.9 x 35.29 x 6.7 cm; 2.35 Kilograms,2560x1440 Pixels,Intel,Intel Core i9,3.8 GHz,14,,1 TB,1 TB PCIe NVMe TLC M.2 SSD,NVIDIA,2.35 Kilograms,Black,6 November 2023,,,74769
20,Lenovo,Legion7,50.1 x 40 x 12.3 cm; 5.02 Kilograms,,Intel,Intel Core i7,4.6 GHz,8,32 GB,2 TB,SSD,NVIDIA,5.02 Kilograms,,7 February 2022,2.6,5,73438
21,MSI,Alder Lake i7-12700H,52.2 x 43 x 9.7 cm; 2 Kilograms,,Intel,Core i7 4770,3 GHz,1,,1 TB,SSD,NVIDIA,2 Kilograms,Silver,16 July 2022,,,69999
22,ASUS,FX507ZV4-LP007W,43.1 x 31.3 x 10.4 cm; 3 Kilograms,,Intel,Core i7,2.3,1,16,512 GB,SSD,NVIDIA,3 Kilograms,Jaeger Gray,17 August 2023,,,47061.
23,HP,HP OMEN,55 x 35 x 9 cm; 2.35 Kilograms,2560x1440 Pixels,Intel,Intel Core i9,3.8 GHz,14,16 GB,1 TB,1 TB PCIe NVMe TLC M.2 SSD,NVIDIA,2.35 Kilograms,Black,9 October 2023,3.9,3,69996
24,DELL,Dell G15 5530 Gaming,49.5 x 34.9 x 7.4 cm; 2.65 Kilograms,1920x1080 Pixels,Intel,Intel Core i7,2.6 GHz,14,,1 TB,SSD,NVIDIA,2.65 Kilograms,Dark Shadow Grey,13 November 2023,,,68918
25,DELL,Dell G15 5530 Gaming,48.2 x 34.79 x 7.6 cm; 2.65 Kilograms,1920x1080 Pixels,Intel,Intel Core i7,2.6 GHz,14,,1 TB,SSD,NVIDIA,2.65 Kilograms,Dark Shadow Grey,13 November 2023,,,68918
26,DELL,G15 5530 I7-13650HX 16G 512G RTX4060 165Hz W11,58.1 x 34.7 x 13.4 cm; 2.65 Kilograms,1920x1080 Pixels,Intel,Intel Core i7,2.6 GHz,14,16,512 GB,512GB M.2 PCIe NVMe SSD,NVIDIA,2.65 Kilograms,Dark Shadow Gray with Black thermal shelf,19 August 2023,,,68499
27,Lenovo,Legion 5 15ACH6H,58 x 35 x 8 cm; 2.4 Kilograms,1920x1080 Pixels,AMD,Ryzen 7 5800H,3.2 GHz,8,,512 GB,512GB SSD M.2 2280 PCIe 3.0x4 NVMe,NVIDIA,2.4 Kilograms,Phantom Blue,14 November 2023,,,68358
28,DELL,DELL G15 5520 GAMING,51.7 x 34.5 x 7.7 cm; 2.67 Kilograms,1920x1080 Pixels,Intel,Intel Core i7,3.5 GHz,14,,1 TB,SSD,NVIDIA,2.67 Kilograms,Dark Shadow Grey,6 November 2023,,,66664
29,ASUS,UP3404VA-OLED005W,41.4 x 28.9 x 8.3 cm; 1.5 Kilograms,,Intel,Core i5,3 GHz,1,,,SSD,Intel,1.5 Kilograms,,11 November 2023,,,66120
30,LENOVO,Lenovo LOQ 15IRH8 - 82XV00KKAX,54.2 x 35.6 x 8.6 cm; 2.4 Kilograms,1920x1080 Pixels,"Intel® Core™ i7-13620H, 10C (6P + 4E) / 16T, P-core 2.4 / 4.9GHz, E-core 1.8 / 3.6GHz, 24MB",Intel Core i7,2.4 GHz,10,16 GB,512 GB,"512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®, SSD",NVIDIA,2.4 Kilograms,Storm Grey,18 August 2023,,,66053
31,Lenovo,Legion 5 15ACH6H 82JU01BEAX,55.5 x 36.5 x 8.6 cm; 2.4 Kilograms,1920x1080 Pixels,AMD,Ryzen 7 5800H,3.2 GHz,8,16 GB,512 GB,SSD,NVIDIA,2.4 Kilograms,Phantom Blue,16 February 2023,2.5,3,65960
32,HP,15-fa1104ne,48.29 x 31.1 x 10.7 cm; 2.33 Kilograms,1920x1080 Pixels,Intel,Intel Core i7,2.4 GHz,14,,512 GB,512 GB PCIe NVMe M.2 SSD,NVIDIA,2.33 Kilograms,Performance Blue,7 October 2023,,,65937
33,DELL,G15 5530 I7-13650HX 16G 1TB RTX4050 6G 120Hz Win11,58.1 x 34.5 x 7.7 cm; 2.65 Kilograms,1920x1080 Pixels,Intel,Intel Core i7,2.6 GHz,14,16,1 TB,SSD,NVIDIA,2.65 Kilograms,Dark Shadow Gray,17 October 2023,,,65504
34,DELL,G15 5530 I7-13650HX 16G 1TB RTX4050 6G 120Hz W11,57.9 x 34.7 x 7.7 cm; 2.65 Kilograms,1920x1080 Pixels,Intel,Intel Core i7,2.6 GHz,14,16,1 TB,SSD,NVIDIA,2.65 Kilograms,Dark Shadow Gray,17 October 2023,,,65504
35,DELL,G15 5530 Gaming,58 x 35 x 8 cm; 2.65 Kilograms,1920x1080 Pixels,Intel,Intel Core i7,2.6 GHz,14,,1 TB,SSD,NVIDIA,2.65 Kilograms,Dark Shadow Gray,17 October 2023,,,65504
36,LENOVO,Legion 5 15IAH7H - 82RB00T2AK,54.5 x 33.6 x 8.8 cm; 2.4 Kilograms,2560x1440,Intel,Intel Core i7,1.7 GHz,14,16 GB,1 TB,SSD,NVIDIA,2.4 Kilograms,Storm Grey,28 April 2023,,,64894
37,Apple,Macbook air,,,Apple,,1,8,8 GB,256 GB,,Apple,1.2 Kilograms,Space Grey,14 December 2022,4.7,31,95550.
38,Apple,,,,Apple,,3.49 GHz,8,8 GB,256 GB,,Apple,1.2 Kilograms,red,19 October 2022,4.6,82,95550.
39,LENOVO,Yoga 7 14IRL8 - 82YL00,47.7 x 29.6 x 7.4 cm; 1.55 Kilograms,2240 x 1400 Pixels,Intel,Intel Core i7,1.7 GHz,10,16 GB,512 GB,512GB SSD M.2 2242 PCIe 4.0x4 NVMe,Intel,1.55 Kilograms,Storm Grey,19 October 2023,,,63739
40,DELL,G15 5520,51.7 x 34.5 x 7.6 cm; 2.67 Kilograms,1920x1080 Pixels,Intel,Intel Core i7,3.5 GHz,14,,1 TB,SSD,NVIDIA,2.67 Kilograms,Dark Shadow Grey,6 November 2023,,,63250
41,DELL,DELL G15 5520 GAMING,58 x 35 x 8 cm; 2.67 Kilograms,1920x1080 Pixels,Intel,Intel Core i7,3.5 GHz,14,,1 TB,SSD,NVIDIA,2.67 Kilograms,Dark Shadow Grey,6 November 2023,,,63250
42,DELL,DELL G15 5520 GAMING,51.7 x 34.4 x 7.6 cm; 2.67 Kilograms,1920x1080 Pixels,Intel,Intel Core i7,3.5 GHz,14,,1 TB,SSD,NVIDIA,2.67 Kilograms,Dark Shadow Grey,6 November 2023,,,63250
43,DELL,G15 5530 I7-13650HX 8G 1TB RTX4050 6G 120Hz WIN11,57.9 x 34.6 x 7.7 cm; 2.65 Kilograms,1920x1080 Pixels,Intel,Intel Core i7,2.6 GHz,14,,1 TB,SSD,NVIDIA,2.65 Kilograms,Dark Shadow Gray,17 October 2023,,,63250
44,Lenovo,Legion 5 Pro 16ITH6H - 82JD00DTED,58 x 35 x 8 cm; 2.3 Kilograms,2560x1600 Pixels,Intel,Core i7 Family,4.6 GHz,8,16,1 TB,SSD,NVIDIA,2.3 Kilograms,Gray,13 May 2023,,,63124
45,LENOVO,IdeaPad Flex 5 14ITL05 i5-1135G7 8G 256G W11,47.6 x 28.2 x 6.9 cm; 1.5 Kilograms,1920x1080 Pixels,Intel,Intel Core i5-1135G7,2.4 GHz,4,,256 GB,256GB SSD M.2 2242 PCIe® 3.0x4 NVMe,Intel,1.5 Kilograms,Graphite Grey,18 September 2023,,,61670
46,Dell,Inspiron 14-7430 2n1 i7-1355U 16GB 1T 14 FHD TCH W11H,41.9 x 35.6 x 6.9 cm; 1.6 Kilograms,1920x1200 Pixels,Intel,Intel Core i7,3.7 GHz,10,,1 TB,SSD,Intel,1.6 Kilograms,Platinum Silver,2 November 2023,,,61425
47,Dell,Inspiron 14-7430 2n1 i7-1355U 16GB 1T 14 FHD TCH WIN11,41.79 x 35.6 x 6.9 cm; 1.58 Kilograms,1920x1200 Pixels,Intel,Intel Core i7,3.7 GHz,10,,1 TB,SSD,Intel,1.58 Kilograms,Platinum Silver,17 October 2023,,,61425
48,DELL,G15-5511 I7-11800H 16G 512G 3060 U,52 x 34.9 x 8.1 cm; 2.7 Kilograms,1920 x 1080 Pixels,Intel,Intel Core i7,4600 MHz,8,16 GB,512 GB,SSD,NVIDIA,2.7 Kilograms,Gray,19 October 2022,4.0,1,40788.
49,LENOVO,Lenovo LOQ 15IRH8 - 82XV0083AX,54.3 x 35.8 x 9.1 cm; 2.4 Kilograms,1920x1080 Pixels,"Intel® Core™ i7-13620H, 10C (6P + 4E) / 16T, P-core 2.4 / 4.9GHz, E-core 1.8 / 3.6GHz, 24MB",Intel Core i7,2.4 GHz,10,8 GB,512 GB,"512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®, SSD",NVIDIA,2.4 Kilograms,Storm Grey,18 August 2023,,,60999
50,Lenovo,Legion 5 Pro 16ARH7H - 82RG00GMAX,59 x 35 x 8 cm; 2.49 Kilograms,2560x1600,AMD,Ryzen 7,3.2 GHz,8,16,1 TB,SSD,NVIDIA,2.49 Kilograms,Strom Grey,19 December 2022,1.0,1,60929
51,Generic,,37 x 27 x 19 cm; 2.2 Kilograms,,Intel,Intel Core i7,4.7 GHz,14,8 GB,512 GB,SSD,NVIDIA,2.2 Kilograms,,22 May 2022,,,47061.
52,lenovo,LOQ 15IRH8,57.7 x 47.9 x 8.7 cm; 3.9 Kilograms,,Intel,Core i7,144 Hz,,16 GB,8 GB,,NVIDIA,3.9 Kilograms,Storm Grey,13 August 2023,4.0,1,60929.
53,Dell,,,,Intel,Intel Core i7,2.3 GHz,8,16 GB,512 GB,SSD,NVIDIA,4.23 Kilograms,,12 January 2022,,,57999.
54,HP,"HP Envy x360 Convert I7-1260P 16G 512G W11 15.6"" TCH",53.7 x 33.29 x 14.4 cm; 1.82 Kilograms,1920x1080 Pixels,Intel,Intel Core i7,3.4 GHz,12,,512 GB,512 GB PCIe NVMe M.2 SSD,Intel,1.82 Kilograms,Natural silver aluminum,2 November 2023,,,58755
55,Lenovo,Lenovo IdeaPad Gaming 3 15IAH7,54.9 x 35.9 x 8.6 cm; 2.32 Kilograms,1920x1080 Pixels,Intel,Core i7-12650H,2.3 GHz,10,,512 GB,"SSD, 512GB SSD M.2 2280 PCIe® 3.0x4 NVMe®",NVIDIA,2.32 Kilograms,Onyx Grey,10 December 2022,,,58124
56,Dell,,20 x 20 x 18 cm; 2.5 Kilograms,,Intel,Intel Core i7,2.3 GHz,8,16 GB,1 TB,SSD,NVIDIA,2.5 Kilograms,,11 January 2022,1.9,3,57999
57,LENOVO,Legion 5 15IAH7 - 82RC00DLAK,58 x 35 x 8 cm; 2.4 Kilograms,2560x1440 Pixels,Intel,Intel Core i7,2.3 GHz,14,,512 GB,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,NVIDIA,2.4 Kilograms,Storm Grey,28 April 2023,,,57987
58,LENOVO,IdeaPad Gaming 3 15ACH6 5600H 16G 1.256T 3050TI W11,53.7 x 32.4 x 10.5 cm; 2.25 Kilograms,1920x1080 Pixels,AMD,Ryzen 5 5600H,3.3 GHz,6,16 GB,1256 GB,Hybrid,NVIDIA,2.25 Kilograms,Shadow Black,21 February 2023,1.0,1,57199
59,HP,16-d1012ne,48.2 x 34.2 x 7.2 cm; 2.46 Kilograms,1920 x 1080 Pixels,Intel,Intel Core i7,4700 MHz,14,16,1 TB,SSD,NVIDIA,2.46 Kilograms,Mica silver,17 September 2022,,,57182
60,LENOVO,Legion 5 15IAH7 - 82RC00DEAX,55.8 x 35.8 x 8.7 cm; 2.4 Kilograms,2560x1440 Pixels,Intel,Intel Core i7,2.3 GHz,14,16,1 TB,1TB SSD M.2 2280 PCIe® 4.0x4 NVMe,NVIDIA,2.4 Kilograms,Storm Grey,28 April 2023,,,57182
61,HP,15-fa0032dx,,1920 x 1080 Pixels,Intel,Intel Core i7,4700 MHz,10,16 GB,512 GB,SSD,NVIDIA,2.29 Kilograms,Mica Silver,2 September 2022,4.1,19,949.
62,Dell,G15-5511 i711800H16G512G3050W10,50.8 x 34 x 7.8 cm; 2.5 Kilograms,1920 x 1080 Pixels,Intel,Intel Core i7,4600 MHz,8,16 GB,512 GB,SSD,NVIDIA,2.5 Kilograms,Multi Color,6 January 2022,3.4,36,823.
63,Lenovo,Lenovo IdeaPad Gaming 3 15IAH7,55.1 x 36.1 x 10.1 cm; 2.3 Kilograms,1920x1080 Pixels,Intel,Core i7-12650H,2.3 GHz,10,,512 GB,"SSD, 512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®",NVIDIA,2.3 Kilograms,Onyx Grey,28 April 2023,,,56987
64,Lenovo,LOQ-15IRH8,34 x 26 x 16 cm; 3.87 Kilograms,,Intel,Core i7,,1,,512 GB,SSD,NVIDIA,3.87 Kilograms,,15 September 2023,,,56555
65,Lenovo,Legion 5 15ACH6H 82JU00B1AX,58 x 35 x 9 cm; 2.4 Kilograms,1920x1080 Pixels,AMD,Ryzen 5 5600H,3300 MHz,6,16 GB,1 TB,SSD,NVIDIA,2.4 Kilograms,"Phantom Blue (Top), Shadow Black (Bottom)",7 December 2022,2.0,1,56085
66,Lenovo,IdeaPad,,1920x1080 Pixels,Intel,Core i7-12650H,2.3 GHz,10,16 GB,512 GB,"SSD, 512GB SSD M.2 2280 PCIe® 3.0x4 NVMe®",NVIDIA,2.32 Kilograms,Onyx Grey,10 December 2022,,,56085
67,ASUS,FX507ZC-HN003W,42.9 x 31.3 x 10.6 cm; 4 Kilograms,,Intel,Core i7,3.5,14,16,512 GB,SSD,NVIDIA,4 Kilograms,,25 December 2022,5.0,4,175.
68,LENOVO,Legion 5 15IAH7 - 82RC00DLAK,58 x 35 x 8 cm; 2.4 Kilograms,2560x1440 Pixels,Intel,Intel Core i7,2.3 GHz,14,16 GB,512 GB,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,NVIDIA,2.4 Kilograms,Storm Grey,28 April 2023,1.0,2,54987
69,LENOVO,IdeaPad Gaming 3 15IAH7 - 82S9010MAK,55.3 x 35.6 x 8.5 cm; 2.3 Kilograms,1920x1080 Pixels,Intel,Core i7-12650H,2.3 GHz,10,16 GB,512 GB,"SSD, 512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®",NVIDIA,2.3 Kilograms,Onyx Grey,28 April 2023,3.0,1,54987
70,LENOVO,IdeaPad Gaming 3 15ACH6 5600H 8G 1.256T 3050TI W11,53.8 x 33 x 14 cm; 2.25 Kilograms,1920x1080 Pixels,AMD,Ryzen 5 5600H,3.3 GHz,6,8 GB,1256 GB,Hybrid,NVIDIA,2.25 Kilograms,Shadow Black,21 February 2023,5.0,1,54630
71,LENOVO,IdeaPad Gaming 3 15ACH6 5600H 8G 1T HDD 256SSD 3050TI W11,53.8 x 32.8 x 10.5 cm; 2.25 Kilograms,1920x1080 Pixels,AMD,Ryzen 5 5600H,3.3 GHz,6,8 GB,1256 GB,Hybrid,NVIDIA,2.25 Kilograms,Shadow Black,21 February 2023,,,54630
72,LENOVO,LOQ 15IRH8 I7-13620H 16G 512G RTX4050,54.1 x 45.6 x 8.4 cm; 2.4 Kilograms,1920x1080 Pixels,"Intel® Core™ i7-13620H, 10C (6P + 4E) / 16T, P-core 2.4 / 4.9GHz, E-core 1.8 / 3.6GHz, 24MB",Intel Core i7,2.4 GHz,10,16 GB,512 GB,"512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®, SSD",NVIDIA,2.4 Kilograms,Storm Grey,13 September 2023,,,54470
73,LENOVO,Legion 5 15IAH7 - 82RC00DEAX,58 x 35 x 8 cm; 2.4 Kilograms,2560x1440 Pixels,Intel,Intel Core i7,2.3 GHz,14,,1 TB,1TB SSD M.2 2280 PCIe® 4.0x4 NVMe,NVIDIA,2.4 Kilograms,Storm Grey,28 April 2023,,,53979
74,Lenovo,Yoga,,,Intel,Core i7 Family,4.7 GHz,4,16 GB,1 TB,SSD,Intel,2.29 Kilograms,red,3 August 2022,,,53928
75,DELL,G15 5530 I7-13650HX 16G 512G RTX3050 6G 120Hz W11,59.5 x 36.5 x 7.8 cm; 2.65 Kilograms,1920x1080 Pixels,Intel,Intel Core i7,2.6 GHz,14,16,512 GB,512GB M.2 PCIe NVMe SSD,NVIDIA,2.65 Kilograms,Dark Shadow Gray with Black thermal shelf,9 September 2023,,,53325
76,Lenovo,90RE00L8ED,57.1 x 42.4 x 24.9 cm; 2 Kilograms,,Intel,Core i3-9300T,3 GHz,1,,512 GB,SSD,NVIDIA,2 Kilograms,Gray,1 June 2023,,,52899
77,Apple,,,,Apple,,3.2 GHz,8,8 GB,256 GB,,Apple,1.29 Kilograms,Grey,9 November 2020,4.7,702,110.
78,Apple,,,,Apple,,3.2 GHz,8,8 GB,256 GB,,Apple,1.29 Kilograms,Gold,9 November 2020,4.8,346,110.
79,HP,HP Victus Gaming,48.2 x 34.79 x 6.8 cm; 2.4 Kilograms,1920x1080 Pixels,AMD,Ryzen 7,3.2 GHz,8,,512 GB,512 GB PCIe NVMe M.2 SSD,NVIDIA,2.4 Kilograms,Ceramic White,9 November 2023,,,51573
80,Dell,G15 5520 I7-12700H 16G 512G RTX3060 UBU,54.6 x 51.8 x 8.1 cm; 2.5 Kilograms,1920 x 1080 Pixels,Intel,Intel Core i7,4700 MHz,14,16,512 GB,SSD,NVIDIA,2.5 Kilograms,Shadow Grey,14 February 2023,4.0,1,51195
81,ASUS,90NR09Q3-M009V0,47.9 x 32 x 12.4 cm; 4 Kilograms,,Intel,Core i7,3.5,10,16,512 GB,SSD,NVIDIA,4 Kilograms,,1 December 2022,5.0,2,51048
82,ASUS,FA507RM-HQ098W,65 x 60 x 60 cm; 1.8 Kilograms,,Intel,Core i3-9300T,3 GHz,1,16,1 TB,SSD,AMD,1.8 Kilograms,Gray,2 August 2023,,,51028
83,Lenovo,Lenovo Thinkbook 15 G2 I5-1135G7 8G 256G W10H,,1080p Full HD Pixels,Intel,,,4,8 GB,256 GB,SSD,Intel,1.7 Kilograms,Gray,1 April 2022,5.0,1,25832.
84,Lenovo,ThinkBook,49.8 x 30.6 x 7.6 cm; 2.64 Kilograms,1080 x 1920 Pixels,Intel,,2.8 GHz,,8 GB,1 TB,HDD,NVIDIA,2.64 Kilograms,,16 June 2021,3.9,4,42886.
85,Lenovo,ThinkPad,48 x 33.2 x 8 cm; 2.79 Kilograms,1080p Full HD Pixels,Intel,,,1,8 GB,256 GB,SSD,NVIDIA,2.79 Kilograms,Black,17 April 2022,5.0,1,50999
86,HP,16-d1011ne,60.1 x 35.9 x 7.3 cm; 2.46 Kilograms,1920 x 1080 Pixels,Intel,Intel Core i7,4700 MHz,14,16,1 TB,SSD,NVIDIA,2.46 Kilograms,Blue,17 September 2022,3.8,5,50255
87,HP,16-d1013ne,52.4 x 35 x 8 cm; 2.46 Kilograms,1920 x 1080 Pixels,Intel,Intel Core i7,4700 MHz,14,16,1 TB,SSD,NVIDIA,2.46 Kilograms,Ceramic White,17 September 2022,3.7,3,50255
88,Lenovo,,,,Intel,Core i7 Family,4.6 GHz,8,16 GB,512 GB,,,2.5 Kilograms,Phantom Blue,30 May 2022,3.3,3,49999
89,LENOVO,Lenovo LOQ 15IRH8,58 x 35 x 10 cm; 2.4 Kilograms,1920x1080 Pixels,"Intel® Core™ i5-13420H, 8C (4P + 4E) / 12T, P-core 2.1 / 4.6GHz, E-core 1.5 / 3.4GHz, 12MB",Intel Core i5,2.1 GHz,10,,1 TB,"1TB SSD M.2 2242 PCIe® 4.0x4 NVMe®, SSD",NVIDIA,2.4 Kilograms,Storm Grey,17 November 2023,,,49854
90,Dell,Dell G15-5520 Gaming Laptop,51.8 x 34.5 x 7.9 cm; 2.4 Kilograms,,Intel,Core I7 12700H,3.5 GHz,14,16 GB,512 GB,SSD,NVIDIA,2.4 Kilograms,Shadow Grey,12 July 2022,3.9,100,48999
91,HP,16-D1058NE,,,Intel,Core i3-9300T,3 GHz,1,8,,SSD,Intel,2 Kilograms,,11 November 2022,,,48999
92,Lenovo,IdeaPad Gaming 3 15ACH6 82K201XKAX,54.4 x 34.8 x 8.3 cm; 2.25 Kilograms,1920 x 1080 Pixels,AMD,Ryzen 7 5800H,3.2 GHz,8,16 GB,512 GB,SSD,NVIDIA,2.25 Kilograms,Shadow Black,21 December 2022,4.2,72,48341
93,LENOVO,IdeaPad,,,Intel,Intel Core i7,2.3 GHz,1,16 GB,512 GB,,NVIDIA,2.82 Kilograms,gray,24 May 2023,4.4,15,3800.
94,HP,16-D1026NE,,,Intel,Core i3-9300T,3 GHz,1,16,512 GB,SSD,Intel,2 Kilograms,,11 November 2022,,,47999
95,Lenovo,,49.4 x 33.8 x 7.6 cm; 6 Kilograms,,Intel,Intel Core i7,2.3 GHz,8,16 GB,512 GB,SSD,NVIDIA,6 Kilograms,,11 January 2022,3.4,3,1602.
96,LENOVO,Lenovo LOQ 15IRH8,53 x 36 x 8.5 cm; 2.4 Kilograms,1920x1080 Pixels,"Intel® Core™ i5-13420H, 8C (4P + 4E) / 12T, P-core 2.1 / 4.6GHz, E-core 1.5 / 3.4GHz, 12MB",Intel Core i5,2.1 GHz,10,8,1 TB,"1TB SSD M.2 2242 PCIe® 4.0x4 NVMe®, SSD",NVIDIA,2.4 Kilograms,Storm Grey,4 October 2023,5.0,2,47540
97,ASUS,FX507ZC4-HN002W,42.7 x 31.1 x 10.9 cm; 3 Kilograms,,Intel,Core i7,2.3,14,16,512 GB,SSD,NVIDIA,3 Kilograms,,17 August 2023,4.0,1,47061
98,HP,Victus 7N3S2UA,55 x 35 x 8 cm; 2.33 Kilograms,1920x1080 Pixels,Intel,Intel Core i5,2.1 GHz,8,,512 GB,512 GB PCIe NVMe M.2 SSD,NVIDIA,2.33 Kilograms,Performance Blue,2 November 2023,,,46785
99,HP,16-e1026ne,55 x 35 x 8 cm; 2.5 Kilograms,1920x1080 Pixels,AMD,Ryzen 5,3.3 GHz,6,,512 GB,512GB PCIe NVMe M.2 SSD,NVIDIA,2.5 Kilograms,Mica Silver,7 October 2023,,,46785
100,LENOVO,15ACH6-56H16G512G3050W11,54.4 x 35.1 x 8.6 cm; 2.4 Kilograms,1920x1080 Pixels,AMD,Ryzen 5 5600H,3.3 GHz,6,16 GB,512 GB,SSD,NVIDIA,2.4 Kilograms,"Phantom Blue (Top), Shadow Black (Bottom)",21 February 2023,2.2,6,46383
101,LENOVO,Legion 5 15ACH6,54.2 x 34.6 x 8.4 cm; 2.4 Kilograms,1920x1080 Pixels,AMD,Ryzen 5 5600H,3.3 GHz,6,,512 GB,512GB SSD M.2 2280 PCIe 3.0x4 NVMe,NVIDIA,2.4 Kilograms,"Phantom Blue (Top), Shadow Black (Bottom)",8 November 2023,,,46383
